,word,occurrences,percentile,pinyin,definition,back
630,结果,3870,0.993938691178951,jiéguǒ,outcome<br/>result<br/>conclusion<br/>in the end<br/>as a result<br/>to kill<br/>to dispatch,<b>jiéguǒ</b><br/>outcome<br/>result<br/>conclusion<br/>in the end<br/>as a result<br/>to kill<br/>to dispatch
1612,永远,3868,0.9939281497723056,yǒngyuǎn,forever<br/>eternal,<b>yǒngyuǎn</b><br/>forever<br/>eternal
620,酒,3825,0.9939176083656603,jǐu,"wine (esp. rice wine)<br/>liquor<br/>spirits<br/>alcoholic beverage<br/>CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]","<b>jǐu</b><br/>wine (esp. rice wine)<br/>liquor<br/>spirits<br/>alcoholic beverage<br/>CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]"
4366,欺负,3823,0.993907066959015,qīfù,to bully,<b>qīfù</b><br/>to bully
2346,乖,3821,0.9938965255523697,guāi,"(of a child) obedient, well-behaved<br/>clever<br/>shrewd<br/>alert<br/>perverse<br/>contrary to reason<br/>irregular<br/>abnormal","<b>guāi</b><br/>(of a child) obedient, well-behaved<br/>clever<br/>shrewd<br/>alert<br/>perverse<br/>contrary to reason<br/>irregular<br/>abnormal"
782,年轻,3817,0.9938859841457244,niánqīng,young,<b>niánqīng</b><br/>young
365,嫉妒,3808,0.9938754427390791,jídù,to be jealous<br/>to envy<br/>to hate,<b>jídù</b><br/>to be jealous<br/>to envy<br/>to hate
1464,知,3800,0.9938649013324338,zhī,to know<br/>to be aware,<b>zhī</b><br/>to know<br/>to be aware
3605,有些,3795,0.9938543599257885,yǒuxiē,some<br/>somewhat,<b>yǒuxiē</b><br/>some<br/>somewhat
1391,习惯,3792,0.9938438185191432,xíguàn,habit<br/>custom<br/>usual practice<br/>to be used to<br/>CL:個|个[ge4],<b>xíguàn</b><br/>habit<br/>custom<br/>usual practice<br/>to be used to<br/>CL:個|个[ge4]
1243,白,3781,0.9938332771124979,bái,white<br/>snowy<br/>pure<br/>bright<br/>empty<br/>blank<br/>plain<br/>clear<br/>to make clear<br/>in vain<br/>gratuitous<br/>free of charge<br/>reactionary<br/>anti-communist<br/>funeral<br/>to stare coldly<br/>to write wrong character<br/>to state<br/>to explain<br/>vernacular<br/>spoken lines in opera,<b>bái</b><br/>white<br/>snowy<br/>pure<br/>bright<br/>empty<br/>blank<br/>plain<br/>clear<br/>to make clear<br/>in vain<br/>gratuitous<br/>free of charge<br/>reactionary<br/>anti-communist<br/>funeral<br/>to stare coldly<br/>to write wrong character<br/>to state<br/>to explain<br/>vernacular<br/>spoken lines in opera
5539,祝福,3769,0.9938227357058526,zhùfú,blessings<br/>to wish sb well,<b>zhùfú</b><br/>blessings<br/>to wish sb well
2050,站,3756,0.9938121942992073,zhàn,station<br/>to stand<br/>to halt<br/>to stop<br/>branch of a company or organization<br/>website,<b>zhàn</b><br/>station<br/>to stand<br/>to halt<br/>to stop<br/>branch of a company or organization<br/>website
2002,想到,3754,0.9937963821892394,xiǎngdào,to think of<br/>to call to mind<br/>to anticipate,<b>xiǎngdào</b><br/>to think of<br/>to call to mind<br/>to anticipate
